t_s,x_m,p_analytic_Pa,p_numeric_Pa
0.0,515.0,30000000.0,30000000.0
0.0,517.5,30000000.0,30000000.0
0.0,520.0,30000000.0,30000000.0
0.0,522.5,30000000.0,30000000.0
0.0,525.0,30000000.0,30000000.0
0.0,527.5,30000000.0,30000000.0
0.0,530.0,30000000.0,30000000.0
0.0,532.5,30000000.0,30000000.0
0.0,535.0,30000000.0,30000000.0
0.0,537.5,30000000.0,30000000.0
0.0,540.0,30000000.0,30000000.0
0.0,542.5,30000000.0,30000000.0
0.0,545.0,30000000.0,30000000.0
0.0,547.5,30000000.0,30000000.0
0.0,550.0,30000000.0,30000000.0
0.0,552.5,30000000.0,30000000.0
0.0,555.0,30000000.0,30000000.0
0.0,557.5,30000000.0,30000000.0
0.0,560.0,30000000.0,30000000.0
0.0,562.5,30000000.0,30000000.0
0.0,565.0,30000000.0,30000000.0
0.0,567.5,30000000.0,30000000.0
0.0,570.0,30000000.0,30000000.0
0.0,572.5,30000000.0,30000000.0
0.0,575.0,30000000.0,30000000.0
0.0,577.5,30000000.0,30000000.0
0.0,580.0,30000000.0,30000000.0
0.0,582.5,30000000.0,30000000.0
0.0,585.0,30000000.0,30000000.0
0.0,587.5,30000000.0,30000000.0
0.0,590.0,30000000.0,30000000.0
0.0,592.5,30000000.0,30000000.0
0.0,595.0,30000000.0,30000000.0
0.0,597.5,30000000.0,30000000.0
0.0,600.0,30000000.0,30000000.0
0.0,602.5,30000000.0,30000000.0
0.0,605.0,30000000.0,30000000.0
0.0,607.5,30000000.0,30000000.0
0.0,610.0,30000000.0,30000000.0
0.0,612.5,30000000.0,30000000.0
0.0,615.0,30000000.0,30000000.0
0.0,617.5,30000000.0,30000000.0
0.0,620.0,30000000.0,30000000.0
0.0,622.5,30000000.0,30000000.0
0.0,625.0,30000000.0,30000000.0
0.0,627.5,30000000.0,30000000.0
0.0,630.0,30000000.0,30000000.0
0.0,632.5,30000000.0,30000000.0
0.0,635.0,30000000.0,30000000.0
0.0,637.5,30000000.0,30000000.0
0.0,640.0,30000000.0,30000000.0
0.0,642.5,30000000.0,30000000.0
0.0,645.0,30000000.0,30000000.0
0.0,647.5,30000000.0,30000000.0
0.0,650.0,30000000.0,30000000.0
0.0,652.5,30000000.0,30000000.0
0.0,655.0,30000000.0,30000000.0
0.0,657.5,30000000.0,30000000.0
0.0,660.0,30000000.0,30000000.0
0.0,662.5,30000000.0,30000000.0
0.0,665.0,30000000.0,30000000.0
0.0,667.5,30000000.0,30000000.0
0.0,670.0,30000000.0,30000000.0
0.0,672.5,30000000.0,30000000.0
0.0,675.0,30000000.0,30000000.0
0.0,677.5,30000000.0,30000000.0
0.0,680.0,30000000.0,30000000.0
0.0,682.5,30000000.0,30000000.0
0.0,685.0,30000000.0,30000000.0
0.0,687.5,30000000.0,30000000.0
0.0,690.0,30000000.0,30000000.0
0.0,692.5,30000000.0,30000000.0
0.0,695.0,30000000.0,30000000.0
0.0,697.5,30000000.0,30000000.0
0.0,700.0,30000000.0,30000000.0
0.0,702.5,30000000.0,30000000.0
0.0,705.0,30000000.0,30000000.0
0.0,707.5,30000000.0,30000000.0
0.0,710.0,30000000.0,30000000.0
0.0,712.5,30000000.0,30000000.0
0.0,715.0,30000000.0,30000000.0
0.0,717.5,30000000.0,30000000.0
0.0,720.0,30000000.0,30000000.0
0.0,722.5,30000000.0,30000000.0
0.0,725.0,30000000.0,30000000.0
0.0,727.5,30000000.0,30000000.0
0.0,730.0,30000000.0,30000000.0
0.0,732.5,30000000.0,30000000.0
0.0,735.0,30000000.0,30000000.0
0.0,737.5,30000000.0,30000000.0
0.0,740.0,30000000.0,30000000.0
0.0,742.5,30000000.0,30000000.0
0.0,745.0,30000000.0,30000000.0
0.0,747.5,30000000.0,30000000.0
0.0,750.0,30000000.0,30000000.0
0.0,752.5,30000000.0,30000000.0
0.0,755.0,30000000.0,30000000.0
0.0,757.5,30000000.0,30000000.0
0.0,760.0,30000000.0,30000000.0
0.0,762.5,30000000.0,30000000.0
0.0,765.0,30000000.0,30000000.0
0.0,767.5,30000000.0,30000000.0
0.0,770.0,30000000.0,30000000.0
0.0,772.5,30000000.0,30000000.0
0.0,775.0,30000000.0,30000000.0
0.0,777.5,30000000.0,30000000.0
0.0,780.0,30000000.0,30000000.0
0.0,782.5,30000000.0,30000000.0
0.0,785.0,30000000.0,30000000.0
0.0,787.5,30000000.0,30000000.0
0.0,790.0,30000000.0,30000000.0
0.0,792.5,30000000.0,30000000.0
0.0,795.0,30000000.0,30000000.0
0.0,797.5,30000000.0,30000000.0
0.0,800.0,30000000.0,30000000.0
0.0,802.5,30000000.0,30000000.0
0.0,805.0,30000000.0,30000000.0
0.0,807.5,30000000.0,30000000.0
0.0,810.0,30000000.0,30000000.0
0.0,812.5,30000000.0,30000000.0
0.0,815.0,30000000.0,30000000.0
0.0,817.5,30000000.0,30000000.0
0.0,820.0,30000000.0,30000000.0
0.0,822.5,30000000.0,30000000.0
0.0,825.0,30000000.0,30000000.0
0.0,827.5,30000000.0,30000000.0
0.0,830.0,30000000.0,30000000.0
0.0,832.5,30000000.0,30000000.0
0.0,835.0,30000000.0,30000000.0
0.0,837.5,30000000.0,30000000.0
0.0,840.0,30000000.0,30000000.0
0.0,842.5,30000000.0,30000000.0
0.0,845.0,30000000.0,30000000.0
0.0,847.5,30000000.0,30000000.0
0.0,850.0,30000000.0,30000000.0
0.0,852.5,30000000.0,30000000.0
0.0,855.0,30000000.0,30000000.0
0.0,857.5,30000000.0,30000000.0
0.0,860.0,30000000.0,30000000.0
0.0,862.5,30000000.0,30000000.0
0.0,865.0,30000000.0,30000000.0
0.0,867.5,30000000.0,30000000.0
0.0,870.0,30000000.0,30000000.0
0.0,872.5,30000000.0,30000000.0
0.0,875.0,30000000.0,30000000.0
0.0,877.5,30000000.0,30000000.0
0.0,880.0,30000000.0,30000000.0
0.0,882.5,30000000.0,30000000.0
0.0,885.0,30000000.0,30000000.0
0.0,887.5,30000000.0,30000000.0
0.0,890.0,30000000.0,30000000.0
0.0,892.5,30000000.0,30000000.0
0.0,895.0,30000000.0,30000000.0
0.0,897.5,30000000.0,30000000.0
0.0,900.0,30000000.0,30000000.0
0.0,902.5,30000000.0,30000000.0
0.0,905.0,30000000.0,30000000.0
0.0,907.5,30000000.0,30000000.0
0.0,910.0,30000000.0,30000000.0
0.0,912.5,30000000.0,30000000.0
0.0,915.0,30000000.0,30000000.0
0.0,917.5,30000000.0,30000000.0
0.0,920.0,30000000.0,30000000.0
0.0,922.5,30000000.0,30000000.0
0.0,925.0,30000000.0,30000000.0
0.0,927.5,30000000.0,30000000.0
0.0,930.0,30000000.0,30000000.0
0.0,932.5,30000000.0,30000000.0
0.0,935.0,30000000.0,30000000.0
0.0,937.5,30000000.0,30000000.0
0.0,940.0,30000000.0,30000000.0
0.0,942.5,30000000.0,30000000.0
0.0,945.0,30000000.0,30000000.0
0.0,947.5,30000000.0,30000000.0
0.0,950.0,30000000.0,30000000.0
0.0,952.5,30000000.0,30000000.0
0.0,955.0,30000000.0,30000000.0
0.0,957.5,30000000.0,30000000.0
0.0,960.0,30000000.0,30000000.0
0.0,962.5,30000000.0,30000000.0
0.0,965.0,30000000.0,30000000.0
0.0,967.5,30000000.0,30000000.0
0.0,970.0,30000000.0,30000000.0
0.0,972.5,30000000.0,30000000.0
0.0,975.0,30000000.0,30000000.0
0.0,977.5,30000000.0,30000000.0
0.0,980.0,30000000.0,30000000.0
0.0,982.5,30000000.0,30000000.0
0.0,985.0,30000000.0,30000000.0
0.0,987.5,30000000.0,30000000.0
0.0,990.0,30000000.0,30000000.0
0.0,992.5,30000000.0,30000000.0
0.0,995.0,30000000.0,30000000.0
0.0,997.5,30000000.0,30000000.0
0.0,1000.0,30000000.0,30000000.0
3888.0,0.0,25000000.0,25000000.0
3888.0,2.5,25504457.56349178,25484324.027752727
3888.0,5.0,26000881.434202984,26056919.71503695
3888.0,7.5,26481619.701110154,26554999.948527988
3888.0,10.0,26939753.937980384,27016925.271525316
3888.0,12.5,27369394.04911431,27455143.30657822
3888.0,15.0,27765895.616456512,27862247.15652044
3888.0,17.5,28125987.233852033,28229808.243541926
3888.0,20.0,28447804.342156474,28554026.574793376
3888.0,22.5,28730834.85392063,28834882.551820297
3888.0,25.0,28975789.338612076,29074328.42360589
3888.0,27.5,29184413.95022865,29275216.262566656
3888.0,30.0,29359267.193671603,29440898.216452934
3888.0,32.5,29503481.998597894,29575097.7250457
3888.0,35.0,29620532.694706637,29681798.417826734
3888.0,37.5,29714022.908186987,29765079.065431077
3888.0,40.0,29787505.809548736,29828918.815995026
3888.0,42.5,29844343.239125434,29877019.03280873
3888.0,45.0,29887605.633169375,29912674.372195672
3888.0,47.5,29920010.828975003,29938704.130050294
3888.0,50.0,29943897.01051963,29957438.34592694
3888.0,52.5,29961223.34844867,29970744.744620033
3888.0,55.0,29973591.215279628,29980080.785664834
3888.0,57.5,29982279.034660608,29986557.167016175
3888.0,60.0,29988284.61144812,29991002.76733779
3888.0,62.5,29992369.93650252,29994024.7245601
